,unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,latitude,longitude,location
0,56805534,2023-02-14T19:38:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11235,2803 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,GERALD CT,KATHLEEN PL,,,ADDRESS,BROOKLYN,,,Open,,,,15 BROOKLYN,3074300053.0,BROOKLYN,995245.0,153600.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.58826584643416,-73.96041340492431,"
,  
(40.588265846434155, -73.96041340492431)"
1,56808944,2023-02-14T14:47:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11106,23-52 31 ROAD,31 ROAD,23 ST,CRESCENT ST,,,ADDRESS,ASTORIA,,,Open,,,,01 QUEENS,4005680039.0,QUEENS,1003980.0,218273.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76576336026135,-73.9287744342824,"
,  
(40.76576336026135, -73.9287744342824)"
2,56805673,2023-02-14T07:47:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11210,532 EAST   26 STREET,EAST   26 STREET,FLATBUSH AVE,AMERSFORT PL,,,ADDRESS,BROOKLYN,,,Open,,,,14 BROOKLYN,3052250054.0,BROOKLYN,997365.0,171485.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63735359285411,-73.95274578330906,"
,  
(40.63735359285411, -73.95274578330906)"
3,56795129,2023-02-13T20:23:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11358,,,,,DEPOT ROAD,164 STREET,INTERSECTION,QUEENS,,,Open,,,,07 QUEENS,,QUEENS,1039131.0,216919.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76189865854271,-73.80189019960675,"
,  
(40.76189865854271, -73.80189019960675)"
4,56799815,2023-02-13T10:41:00.000,2023-02-13T11:15:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11237,2 VANDERVOORT PLACE,VANDERVOORT PLACE,THAMES ST,FLUSHING AVE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-02-13T11:15:00.000,01 BROOKLYN,3030120011.0,BROOKLYN,1003487.0,196135.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70500111908766,-73.93061747062774,"
,  
(40.70500111908766, -73.93061747062774)"
5,56778746,2023-02-11T03:56:00.000,2023-02-12T09:00:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11223,2214 STILLWELL AVENUE,STILLWELL AVENUE,27 AVE,BAY 46 ST,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-02-12T09:00:00.000,13 BROOKLYN,3068850023.0,BROOKLYN,988532.0,155394.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.59319580218309,-73.98458187267335,"
,  
(40.59319580218309, -73.98458187267335)"
6,56768787,2023-02-10T17:59:00.000,2023-02-11T09:00:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11237,2 VANDERVOORT PLACE,VANDERVOORT PLACE,THAMES ST,FLUSHING AVE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-02-11T09:00:00.000,01 BROOKLYN,3030120011.0,BROOKLYN,1003487.0,196135.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70500111908766,-73.93061747062774,"
,  
(40.70500111908766, -73.93061747062774)"
7,56774622,2023-02-10T16:14:00.000,2023-02-11T15:45:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11236,1438 EAST   88 STREET,EAST   88 STREET,AVENUE N,SEAVIEW AVE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-02-11T15:45:00.000,18 BROOKLYN,3080840023.0,BROOKLYN,1012687.0,168951.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63036236617889,-73.89755031393551,"
,  
(40.63036236617889, -73.89755031393551)"
8,56773457,2023-02-10T16:05:00.000,2023-02-11T13:30:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11365,,,,,69 AVENUE,UTOPIA PARKWAY,INTERSECTION,QUEENS,,,Closed,,The Department of Environmental Protection has investigated this complaint and has performed repair work.,2023-02-11T13:30:00.000,08 QUEENS,,QUEENS,1041525.0,206278.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.73267668386468,-73.79333897585512,"
,  
(40.73267668386468, -73.79333897585512)"
9,56771023,2023-02-10T14:02:00.000,2023-02-11T08:35:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11222,,,,,MANHATTAN AVENUE,NEWTON STREET,INTERSECTION,BROOKLYN,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-02-11T08:35:00.000,01 BROOKLYN,,BROOKLYN,998782.0,201647.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72013922147923,-73.94757519955019,"
,  
(40.72013922147923, -73.94757519955019)"
